Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-09-28 17:15:52,2018-09-28 17:16:15,22.657s,PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.100,,2018-09-28 17:15:52,2018-09-28 17:15:58,5.927s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:15:53,2018-09-28 17:15:58,5.659s,PASSED
,,,,,,
Test Cases/LandingPage/Login,Chrome 69.0.3497.100,,2018-09-28 17:15:58,2018-09-28 17:16:15,16.189s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-28 17:15:59,2018-09-28 17:16:14,15.032s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.109s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.127s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.039s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.084s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.307s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.093s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:14,0.149s,PASSED
click,Chrome 69.0.3497.100,,2018-09-28 17:16:14,2018-09-28 17:16:15,0.087s,PASSED
